id,question,prediction,ground_truth,dataset,task_type,thinking_mode,is_correct,correctness_score,similarity,poincare_scale
nq_10,all the motor neurons that control the skeletal muscles are,Answer: somatic motor neurons.,"['efferent nerves', 'Somatic motor neurons', 'Somatic']",natural_questions,long_form,no_thinking,1,0.8571428571428571,0.9481741,0.05
nq_11,the region that stretches between the black and caspian seas,"The region that stretches between the Black Sea and the Caspian Sea is known as the **Caspian Sea** and the **Black Sea** region, but more specifically, the area between them is often referred to as the **Caspian Sea** and the **Black Sea** basin. However, if the question is referring to the land area between the two seas, it is part of **Caucasus** and **Transcaucasian** regions, including countries like **Georgia**, **Azerbaijan**, **Armenia**, and parts of **Russia** and **Turkey**. The most commonly referenced region in this context is the **Caucasus region**.","['The Caucasus Mountains', 'Caucasus Mountains']",natural_questions,long_form,no_thinking,0,0.0256410256410256,0.9420035,0.05
nq_12,what does the m number mean on a pint glass,"The ""M"" number on a pint glass refers to the ""Milk"" standard, which is a measure of the volume of a pint glass. It indicates that the glass is designed to hold a standard volume of liquid, typically 20 fluid ounces (about 568 milliliters), which is the standard for a pint in the UK. The ""M"" stands for ""Milk,"" as this standard was originally based on the volume of a pint of milk.","['imperial fluid ounces', 'the manufacturing company or site']",natural_questions,long_form,no_thinking,0,0.064516129032258,0.94135636,0.05
nq_13,when did the dallas cowboys win their last playoff game,"The Dallas Cowboys won their last playoff game on January 26, 2020, in the NFC Championship Game, where they defeated the Philadelphia Eagles 27-23.","['2014', '2016']",natural_questions,long_form,no_thinking,0,0.0,0.92096823,0.05
nq_14,who sang the theme song for laverne and shirley,The theme song for *Laverne & Shirley* was sung by The Dells.,['Cyndi Grecco'],natural_questions,long_form,no_thinking,0,0.0,0.9303781,0.05
nq_15,who plays the judge in drop dead diva,The judge in *Drop Dead Diva* is played by actor James Van Der Beek.,['Lex Medlin'],natural_questions,long_form,no_thinking,0,0.0,0.9313604,0.05
nq_16,the art and science of making objects from clay is called,Answer:陶艺 (Ceramics),"['Ceramic art', 'Ceramic']",natural_questions,long_form,no_thinking,0,0.0,0.95202935,0.05
nq_17,what was the united states foreign policy after ww1 started,"After World War I began in 1914, the United States adopted a foreign policy of neutrality, officially declaring neutrality on August 4, 1914. However, as the war progressed, the U.S. became increasingly involved, particularly after the Zimmermann Telegram in 1917, which led to the U.S. entering the war on the side of the Allies in 1917.",['neutrality'],natural_questions,long_form,no_thinking,0,0.0416666666666666,0.9290016,0.05
nq_18,what is the largest magnitude earthquake that has occurred in the pacific northwest,"The largest magnitude earthquake that has occurred in the Pacific Northwest is the 1964 Good Friday Earthquake, which had a magnitude of 9.2. It struck off the coast of Alaska but had significant effects on the Pacific Northwest region.",['The 1700 Cascadia earthquake'],natural_questions,long_form,no_thinking,0,0.0555555555555555,0.9406413,0.05
nq_19,where was 2017 beauty and the beast filmed,"The 2017 film *Beauty and the Beast* was primarily filmed in France. Key locations included the Château de Chambord and the Château de Versailles, as well as the French countryside. Additional filming took place in Canada, particularly in Vancouver, for the exterior scenes and the enchanted castle's construction.","['Surrey, United Kingdom']",natural_questions,long_form,no_thinking,0,0.0,0.9280786,0.05
nq_20,who is the actor that plays ducky on ncis,The actor who plays Ducky on *NCIS* is Mark McGann.,['David McCallum'],natural_questions,long_form,no_thinking,0,0.0,0.9350784,0.05
nq_21,when was catch me if you can made,*Catch Me If You Can* was made in 2009.,['2002'],natural_questions,long_form,no_thinking,0,0.0,0.93136,0.05
nq_22,who played the female lead in the 1942 film casablanca,The female lead in the 1942 film *Casablanca* was played by Ingrid Bergman.,"['romantic drama', 'Ingrid Bergman']",natural_questions,long_form,no_thinking,1,0.3076923076923077,0.92915356,0.05
nq_23,when did i ain't mad at cha come out,"""I Ain't Mad at Cha"" is a song by the American hip hop group Mobb Deep, featuring Nas. It was released in 1994 as the second single from their debut album *The Infamous (2001)*. The song was a major hit and is considered one of the defining tracks of the 1990s hip hop scene.","['September 15, 1996']",natural_questions,long_form,no_thinking,0,0.0,0.92833316,0.05
nq_24,who becomes chief resident on grey's anatomy season 7,"On *Grey's Anatomy* Season 7, Dr. Miranda Bailey becomes the chief resident.","['April Kepner M.D.', 'Kepner']",natural_questions,long_form,no_thinking,0,0.0,0.93113685,0.05
nq_25,when did the usa join world war one,"The United States joined World War I on April 6, 1917.","['April 1917', 'April 6, 1917', 'in April 1917']",natural_questions,long_form,no_thinking,1,0.4615384615384615,0.9444884,0.05
nq_26,who has the most big ten championships in football,"As of the latest data, the University of Ohio (Ohio State Buckeyes) has the most Big Ten Conference championships in football. They have won the conference title 12 times, which is the most among all schools in the Big Ten Conference.",['Michigan'],natural_questions,long_form,no_thinking,0,0.0,0.9266334,0.05
nq_27,when was the design period known as art deco,"The design period known as Art Deco began in the early 1920s and lasted until the early 1940s. It was a style that influenced architecture, interior design, industrial design, and the visual arts.",['1910–1939'],natural_questions,long_form,no_thinking,0,0.0,0.93294644,0.05
nq_28,when were the first general elections held in independent india,The first general elections in independent India were held in 1951-52.,['1951–52'],natural_questions,long_form,no_thinking,0,0.0,0.9388664,0.05
nq_29,one piece episode 534 english dubbed release date,"The English dubbed version of One Piece Episode 534 was released on April 23, 2015.","['February 5, 2012']",natural_questions,long_form,no_thinking,0,0.0,0.92563885,0.05
nq_30,a request to the supreme court that it review a case that was already decided is made via a(n),Answer: petition for a writ of certiorari.,"['a writ of certiorari', 'writ of certiorari']",natural_questions,long_form,no_thinking,1,0.6666666666666666,0.9570159,0.05
nq_31,when did the first ice age come out,"The first ice age, known as the Paleozoic Ice Age, began approximately 460 million years ago during the Ordovician period. However, if referring to the most recent ice age, the Quaternary Ice Age, it started about 2.6 million years ago. The question likely refers to the most recent ice age, so the answer is approximately 2.6 million years ago.","['2002', 'March 15, 2002']",natural_questions,long_form,no_thinking,0,0.0,0.92338574,0.05
nq_32,when did the golden state warriors win the finals,"The Golden State Warriors have won the NBA Finals multiple times. Their most recent championship was in **2017**, when they defeated the Cleveland Cavaliers in a seven-game series. They also won in **2015** and **2018**.","['1947', '1975', '1956', '2015', '2017']",natural_questions,long_form,no_thinking,0,0.0625,0.91647124,0.05
nq_33,how many episodes are in season 7 of pretty little liars,Season 7 of *Pretty Little Liars* consists of 12 episodes.,['20'],natural_questions,long_form,no_thinking,0,0.0,0.927022,0.05
nq_34,who plays dr. sloan on kevin saves the world,Dr. Sloan on *Kevin Saves the World* is played by Kevin McKiernan.,['Richard Masur'],natural_questions,long_form,no_thinking,0,0.0,0.93263644,0.05
nq_35,what is the 180 degree line of longitude called,The 180-degree line of longitude is called the International Date Line.,"['180th meridian or antimeridian', '180th meridian', 'antimeridian']",natural_questions,long_form,no_thinking,0,0.0,0.9498966,0.05
nq_36,who wrote the music phantom of the opera,The music for *The Phantom of the Opera* was written by Andrew Lloyd Webber.,['Andrew Lloyd Webber'],natural_questions,long_form,no_thinking,1,0.4285714285714285,0.94567126,0.05
nq_37,what is the name of the skin between your nostrils,The skin between the nostrils is called the **nasal septum**.,"['the nasal septum', 'septum']",natural_questions,long_form,no_thinking,1,0.4444444444444445,0.95230496,0.05
nq_38,which site of an enzyme is called allosteric site,"The allosteric site of an enzyme is a specific region on the enzyme that is not the active site but binds to a regulatory molecule, causing a change in the enzyme's shape and affecting its activity.",['regulatory site'],natural_questions,long_form,no_thinking,0,0.1333333333333333,0.93693525,0.05
nq_39,batman and robin episode only fools and horses,"""Batman and Robin"" is not an episode of ""Only Fools and Horses."" ""Only Fools and Horses"" is a British sitcom that ran from 1984 to 1990, and it does not feature Batman or Robin. The characters Batman and Robin are from the DC Comics universe and appear in various TV shows and media, but not in ""Only Fools and Horses.""","['""Heroes and Villains""']",natural_questions,long_form,no_thinking,0,0.0338983050847457,0.92811793,0.05
nq_40,where do kidneys for kidney transplant come from,"Kidneys for kidney transplants can come from two main sources: deceased donors (either brain dead or cardiac dead) and living donors. Living donors may be family members, friends, or unrelated individuals who are in good health. The kidneys are typically matched to the recipient based on blood type and tissue compatibility.",['living-donor'],natural_questions,long_form,no_thinking,0,0.0,0.9414926,0.05
nq_41,when did the movie peter pan come out,"The movie *Peter Pan* (2005) was released on June 16, 2005.","['2003', '25\xa0December\xa02003']",natural_questions,long_form,no_thinking,0,0.0,0.92716134,0.05
nq_42,when was the last time michigan basketball won the championship,"As of the latest information available up to 2024, the last time the Michigan basketball team won a championship was in 1992 when they captured the NCAA Men's Basketball Championship. The team was coached by Bill self, and the game was played against the Arkansas Razorbacks. However, it's important to note that Michigan has not won a men's basketball championship in over three decades, and the program has not been competitive at the highest level in recent years. For the most current information, checking the latest sports news or official Michigan basketball sources would be advisable.",['1989'],natural_questions,long_form,no_thinking,0,0.0,0.92143005,0.05
nq_43,if there is a line that lies parallel to the horizon it is said to be,Answer: infinite.,['A vanishing point'],natural_questions,long_form,no_thinking,0,0.0,0.9341834,0.05
nq_44,who sang the american anthem at the super bowl,"The ""American Anthem"" at Super Bowl LVII was performed by The Weeknd and Ariana Grande.",['Pink'],natural_questions,long_form,no_thinking,0,0.0,0.92077166,0.05
nq_45,what has been the origin of most classical dances of india,"The origin of most classical dances of India can be traced back to ancient religious and cultural practices, with roots in Hindu mythology, spirituality, and rituals. These dances evolved from temple rituals, worship dances, and storytelling performances, often performed to narrate epics like the Ramayana and Mahabharata. They were also influenced by social customs, religious beliefs, and the natural environment of India. Each classical dance form has its own historical background, but collectively, they reflect the rich cultural and spiritual heritage of India.","['the Sanskrit text Natya Shastra', 'Natya Shastra', 'The Natya Shastra']",natural_questions,long_form,no_thinking,0,0.0,0.9299654,0.05
nq_46,who sings i can't take my eyes off of you,"""I Can't Take My Eyes Off of You"" is a song originally recorded by Tony Bennett and Frank Sinatra. It was first performed by Tony Bennett in 1946 and later popularized by Frank Sinatra in 1960. The song is a classic jazz standard and is often associated with both artists.",['Frankie Valli'],natural_questions,long_form,no_thinking,0,0.0,0.92923546,0.05
nq_47,who was the first to say i'm going to disney world,"The first person to say ""I'm going to Disney World"" is not definitively known, as the phrase is likely a modern expression that has evolved over time. However, the phrase ""I'm going to Disney World"" is often associated with the 1960s and 1970s, a period when Disney World was being developed and opened to the public. The phrase may have been used by fans and enthusiasts who were excited about the upcoming theme park. There is no single known individual who is credited with first saying the phrase, but it is commonly attributed to the excitement and anticipation surrounding the opening of Disney World in 1971.","['Jeana Yeager', 'Phil Simms', 'Dick Rutan']",natural_questions,long_form,no_thinking,0,0.0,0.92067057,0.05
nq_48,where is the new football stadium in atlanta,"The new football stadium in Atlanta is called the Mercedes-Benz Stadium, which is located in the heart of the city, near the Georgia State Fairgrounds and the Atlanta Motor Speedway. It is the home venue for the Atlanta Falcons (NFL) and the Atlanta United FC (MLS).",['Mercedes-Benz Stadium'],natural_questions,long_form,no_thinking,0,0.1025641025641025,0.9448615,0.05
nq_49,georgia out of angus thongs and perfect snogging,"""Georgia Out of Angus Thongs and Perfect Snogging"" is a song by the British band The Coral, released in 2003 as part of their album *The Perfect Sound. It is a humorous and satirical song that plays with the idea of a girl named Georgia who is ""out of"" (i.e., not in a relationship with) a boy named Angus, and the phrase ""perfect snogging"" refers to a perfect sexual encounter. The song is known for its playful and slightly risqué lyrics.","['Georgia Groome as Georgia Nicolson', 'Georgia Groome']",natural_questions,long_form,no_thinking,0,0.081081081081081,0.92745954,0.05
nq_50,when does shadowhunters season 2 episode 17 come out,"""Shadowhunters"" Season 2, Episode 17, titled ""The Last Light,"" was released on **April 13, 2017**.","['February\xa013,\xa02017', 'January\xa023,\xa02017', 'July\xa024,\xa02017']",natural_questions,long_form,no_thinking,0,0.2352941176470588,0.941298,0.05
nq_51,who sang the song you got a friend in me,"The song ""You Got a Friend in Me"" was sung by Justin Timberlake.","['Lyle Lovett', 'Randy Newman']",natural_questions,long_form,no_thinking,0,0.0,0.93157613,0.05
nq_52,when did the botswana currency first come into circulation,"The Botswana currency, the pula (BWP), first came into circulation on February 01, 1967.",['1976'],natural_questions,long_form,no_thinking,0,0.0,0.9263787,0.05
nq_53,total goals scored by ronaldo in la liga,"As of the latest available data (up to the 2023-2024 season), Cristiano Ronaldo has scored a total of **155 goals in La Liga**. However, it's important to note that Ronaldo has not played in La Liga for several years, as he has primarily played for Manchester United and later for Al-Nassr in Saudi Arabia. His most recent La Liga goals were with Real Madrid during his time there. For the most up-to-date and accurate figure, checking a reliable sports statistics source is recommended.",['309'],natural_questions,long_form,no_thinking,0,0.0,0.92175335,0.05
nq_54,star wars the clone wars season 3 episode 1,"""Star Wars: The Clone Wars"" Season 3, Episode 1 is titled ""The Phantom Menace."" It serves as the premiere episode of the third season of the animated series, introducing the events leading up to the Battle of Geonosis and the rise of the Trade Federation.",['Clone Cadets'],natural_questions,long_form,no_thinking,0,0.0526315789473684,0.9276052,0.05
nq_55,nodding your head no is an example of,Answer: nonverbal communication.,['a gesture'],natural_questions,long_form,no_thinking,0,0.0,0.9393891,0.05
nq_56,what type of planet is neptune known as,Neptune is known as a gas giant.,"['giant', 'ice giants']",natural_questions,long_form,no_thinking,0,0.2857142857142857,0.941629,0.05
nq_57,what age do you need to be to buy a bb gun,"The age requirement to buy a BB gun varies by location and local laws. In the United States, many states require a minimum age of 18 to purchase a BB gun, but some states allow younger ages, such as 12 or 16, with proper supervision or a permit. It is important to check the specific laws in your state or country for accurate information.",['18'],natural_questions,long_form,no_thinking,0,0.0344827586206896,0.92686677,0.05
nq_58,what is the meaning of auv in cars,"AUV in cars stands for ""Automatic Unparking Vehicle,"" which refers to a feature that allows a car to park itself using autonomous driving technology. However, it is more commonly associated with ""Adaptive Cruise Control with Stop-and-Go"" (ACC), but the term ""AUV"" is not a standard term in the automotive industry. It might be a misinterpretation or a less common term for ""Automatic Unparking,"" which is a feature in some vehicles that allows the car to park itself in a parking space.",['action utility vehicles'],natural_questions,long_form,no_thinking,0,0.027027027027027,0.9340595,0.05
nq_59,when is the last time wisconsin missed the ncaa tournament,The last time Wisconsin missed the NCAA tournament was in 2018. The Badgers finished the regular season with a 19-13 record and did not qualify for the NCAA Men's Basketball Tournament.,['1997–98'],natural_questions,long_form,no_thinking,0,0.0,0.919083,0.05
nq_60,kings and queens of england in the 1900s,"The kings and queens of England in the 1900s were:

- **Edward VII** (1901–1910)
- **George V** (1910–1936)
- **Edward VIII** (1936) [reigned for 10 days]
- **Winston Churchill** (1940–1952) [as Prime Minister, not a monarch]
- **Elizabeth II** (1952–1972)
- **Queen Elizabeth II** (1952–1972)
- **George VI** (1936–1952) [reigned before Edward VIII]

Note: Edward VIII was the king for a short period, and George VI reigned after Edward VIII abdicated. Elizabeth II succeeded George VI.","['George V', 'George VI', 'Edward VIII', 'Elizabeth II', 'Edward VII']",natural_questions,long_form,no_thinking,0,0.0606060606060606,0.9375898,0.05
nq_61,who used to present i'm a celebrity now,"As of 2023, the presenter of *I'm a Celebrity... Get Me Out of Here!* is **Dawn Johnson**. However, the show has had several presenters over the years, including **Liz Johnson**, **Dawn Johnson**, and **Liz Johnson** again in recent years. The current presenter is **Dawn Johnson**.",['Ant & Dec'],natural_questions,long_form,no_thinking,0,0.0,0.93677115,0.05
nq_62,where did the french immigrants settle in texas,"The French immigrants who settled in Texas were primarily part of the French colonial effort in the 17th and 18th centuries. They established settlements along the Mississippi River and in the area that is now Louisiana. However, a significant group of French immigrants, known as the Acadians, settled in the region that is now eastern Texas, particularly in the area around the mouth of the Sabine River. These Acadians were originally from Nova Scotia and migrated to Louisiana, where they were later displaced by the British during the French and Indian War. Some Acadians moved to Texas, settling in areas such as the San Antonio region and the Texas coast. Therefore, the French immigrants settled in Texas primarily in the eastern and coastal regions, including areas around the Sabine River and the Texas coast.","['1685', 'Arenosa Creek', 'present-day southeastern Texas', 'Matagorda Bay']",natural_questions,long_form,no_thinking,0,0.0169491525423728,0.925931,0.05
nq_63,where does the synthesis of new dna from existing dna occurs,"The synthesis of new DNA from existing DNA occurs during DNA replication. This process takes place in the nucleus of eukaryotic cells and in the cytoplasm of prokaryotic cells. DNA replication is a semi-conservative process, where each original DNA strand serves as a template for a new complementary strand, resulting in two DNA molecules, each containing one original and one new strand.",['origins of replication'],natural_questions,long_form,no_thinking,0,0.0677966101694915,0.94262844,0.05
nq_64,when did cybermen first appear in doctor who,"The Cybermen first appeared in the Doctor Who episode ""The Daleks,"" which was first broadcast on 23 November 1963. However, they were introduced in the story ""The TARDIS,"" which was first broadcast on 3 December 1963. The Cybermen were first introduced in the episode ""The TARDIS,"" which is part of the first series of Doctor Who.","['in 1966', '1966']",natural_questions,long_form,no_thinking,0,0.0408163265306122,0.9272143,0.05
nq_65,when does elena turn into a vampire in the tv series,"In the TV series *The Vampire Diaries*, Elena Gilbert turns into a vampire during the episode ""The Other Side"" (Season 1, Episode 10). This occurs after she is bitten by the vampire Klaus Mikaelson during a confrontation.","['season four', 'fourth season']",natural_questions,long_form,no_thinking,0,0.0625,0.92738664,0.05
nq_66,who sings oh what a night late december back in 63,"""OH WHAT A NIGHT LATE DECEMBER"" is a song by The Beatles, originally performed in 1963 as part of their live performance on the Ed Sullivan Show. The song was written by John Lennon and Paul McCartney. The version that is most famously associated with 1963 is the one performed by The Beatles on the Ed Sullivan Show. However, the song was not officially released as a single at the time. The lyrics were written as a response to the Beatles' performance on the Ed Sullivan Show, where they were criticized for their performance. The song was later included on the album ""With a Little Help from My Friends"" in 1964.",['the Four Seasons'],natural_questions,long_form,no_thinking,0,0.0,0.92394483,0.05
nq_67,which is the first private medical college in kerala,"The first private medical college in Kerala is the **Kerala Institute of Medical Sciences (KIMS)**, established in 1994.","['Government Medical College, Thiruvananthapuram', '1998']",natural_questions,long_form,no_thinking,0,0.2,0.950945,0.05
nq_68,ethiopia flight 961 crashes in to the sea,"The Ethiopian Airlines Flight ET-HI2, operated by Ethiopian Airlines, crashed into the sea on May 29, 1994, after being hijacked by a Somali national, Mohamed Ali Ahmed Gara. The aircraft, a Boeing 737-200, was flying from Addis Ababa to Dubai when it was hijacked. The plane was forced to land in the sea near the island of Socotra, and all 163 people on board were killed. The hijacking was the deadliest in Ethiopian aviation history.",['23 November 1996'],natural_questions,long_form,no_thinking,0,0.0,0.9269555,0.05
nq_69,who produced the movie i can only imagine,The movie *I Can Only Imagine* was produced by **Columbia Pictures**.,"['Pete Shilaimon', 'Raymond Harris', 'Daryl Lefever', 'Kevin Downes', 'Cindy Bond', 'Joe Knopp', 'Mickey Liddell']",natural_questions,long_form,no_thinking,0,0.0,0.9281516,0.05
nq_70,only player to play for manchester united manchester city liverpool and everton,"The only player to have played for Manchester United, Manchester City, Liverpool, and Everton is **David Batty**.","['Peter Andrew Beardsley', 'Peter Andrew Beardsley MBE']",natural_questions,long_form,no_thinking,0,0.0,0.92748,0.05
nq_71,who is singing in something just like this,"""Something Just Like This"" is a song by the band **The Fray**, and it is sung by the band's lead vocalist, **Matthew Perry**. The song was released in 2008 as the second single from their album *How to Save a Life*.","['Will Champion', 'Coldplay', 'The Chainsmokers', 'Chris Martin']",natural_questions,long_form,no_thinking,0,0.0,0.92955047,0.05
nq_72,when did clifford the big red dog first air on tv,"Clifford the Big Red Dog first aired on television on September 10, 1988.","['September 4, 2000']",natural_questions,long_form,no_thinking,0,0.1333333333333333,0.93333703,0.05
nq_73,who plays janie in the search for santa paws,Janie in *The Search for Santa Paws* is played by Jennifer Aniston.,['G. Hannelius'],natural_questions,long_form,no_thinking,0,0.0,0.9317283,0.05
nq_74,what is the legal age for marriage in australia,"In Australia, the legal age for marriage varies by state and territory. Generally, the minimum age is 18 years, but some states and territories allow individuals as young as 16 to marry with the consent of a parent or guardian and the approval of a court. However, the exact requirements can differ, so it's advisable to check the specific laws of the state or territory where the marriage is being considered.",['18'],natural_questions,long_form,no_thinking,0,0.032258064516129,0.9262546,0.05
nq_75,who won season 5 of hell's kitchen,Season 5 of *Hell's Kitchen* was won by **Michael Kozak**. He became the first contestant to win the season after a dramatic finale.,"['Executive Chef Danny Veltri', 'Danny Veltri']",natural_questions,long_form,no_thinking,0,0.0,0.93351364,0.05
nq_76,who explored waters of cuba the bahamas and hispaniola,"The waters of Cuba, the Bahamas, and Hispañola (Hispaniola) were explored by Christopher Columbus during his first voyage in 1492. He encountered the islands of San Salvador (Hispaniola), which he believed to be part of Asia, and later explored the waters around Cuba and the Bahamas.",['Christopher Columbus'],natural_questions,long_form,no_thinking,0,0.0930232558139534,0.93796706,0.05
nq_77,where in the constitution is the executive branch referenced,The executive branch is referenced in Article II of the U.S. Constitution.,['Article Two'],natural_questions,long_form,no_thinking,0,0.1666666666666666,0.9468018,0.05
nq_78,who sings the theme song for living single,"The theme song for *Living Single* is sung by Monica, featuring Usher. The song is titled ""Living Single"" and was written by Monica and produced by Usher.",['Queen Latifah'],natural_questions,long_form,no_thinking,0,0.0,0.9283821,0.05
nq_79,who played in the stanley cup finals last year,The Stanley Cup Finals last year (2023) were played between the Boston Bruins and the Tampa Bay Lightning. The Tampa Bay Lightning won the series 4-2.,"['Nashville Predators', 'Pittsburgh Penguins']",natural_questions,long_form,no_thinking,0,0.0,0.935286,0.05
nq_80,who is the largest supermarket chain in the uk,The largest supermarket chain in the UK is Tesco.,"['Aldi', 'Tesco']",natural_questions,long_form,no_thinking,0,0.25,0.9381118,0.05
nq_81,when did lionel messi play his first game for barcelona,"Lionel Messi played his first game for Barcelona on August 12, 2004, in a friendly match against the Netherlands. He was part of the Barcelona youth team at the time.","['2002', '2001', 'October 2004']",natural_questions,long_form,no_thinking,0,0.0714285714285714,0.91912323,0.05
nq_82,who wins america's next top model cycle 20,"The winner of *America's Next Top Model* Cycle 20 (also known as *America's Next Top Model: The All-Stars* season 10) was **Alessandra Ambrosio**. She won the competition after a final runway show, where she was crowned the new Top Model.",['Jourdan Miller'],natural_questions,long_form,no_thinking,0,0.0,0.92637014,0.05
nq_83,actress who plays penelope garcia on criminal minds,The actress who plays Penelope Garcia on *Criminal Minds* is Amanda Tapping.,['Kirsten Simone Vangsness'],natural_questions,long_form,no_thinking,0,0.0,0.9353488,0.05
nq_84,when was i can only imagine the song released,"""I Can Only Imagine"" is a song by the American rock band *Sister Sledge*. It was released in 1983 as the lead single from their album *The Best of Sister Sledge*. The song was a major hit, reaching number one on the Billboard Hot 100 chart.","['1999', '2001']",natural_questions,long_form,no_thinking,0,0.0,0.92620873,0.05
nq_85,when does season 18 of law and order svu start,"Season 18 of *Law & Order: Special Victims Unit* (SVU) started on **September 26, 2017**.","['September 21, 2016']",natural_questions,long_form,no_thinking,0,0.1176470588235294,0.936973,0.05
nq_86,name the four major layers of the earth in order,"The four major layers of the Earth, from outermost to innermost, are:  
1. Crust  
2. Mantle  
3. Outer Core  
4. Inner Core","['a liquid outer core', 'an outer silicate solid crust', 'a highly viscous mantle', 'a solid inner core']",natural_questions,long_form,no_thinking,0,0.1739130434782609,0.93562067,0.05
nq_87,how many episodes in adventure time season 1,Adventure Time Season 1 consists of 14 episodes.,['26'],natural_questions,long_form,no_thinking,0,0.0,0.92745185,0.05
nq_88,who is the girl in green day 21 guns,"The girl in the song ""21 Guns"" by Green Day is a fictional character. The song is a rock anthem that tells the story of a boy and a girl who are in love, but the girl is not a real person. The song is not based on a real person, and the girl is not a real person either. The song is a fictional story about a boy and a girl who are in love, but the girl is not a real person. The song is a fictional story about a boy and a girl who are in love, but the girl is not a real person.",['Lisa Stelly'],natural_questions,long_form,no_thinking,0,0.0,0.92409265,0.05
nq_89,what episode does lori die on the walking dead,"Lori dies on Season 4, Episode 10 of *The Walking Dead*, titled ""The House of the Rising Sun.""","['""Killer Within""', 'Killer Within']",natural_questions,long_form,no_thinking,0,0.0,0.9287943,0.05
nq_90,is greenland part of europe or north america,Greenland is part of North America. It is an autonomous territory within the Kingdom of Denmark and is considered part of the North American continent.,['North America'],natural_questions,long_form,no_thinking,0,0.1666666666666666,0.9416626,0.05
nq_91,where is wake forest located in north carolina,"Wake Forest is located in Winston-Salem, North Carolina. It is the home of Wake Forest University.","['78.51889°W', 'in Franklin and Wake counties', '35.97333°N']",natural_questions,long_form,no_thinking,0,0.2,0.9271892,0.05
nq_92,is aluminium a ferrous or non ferrous metal,Aluminium is a non-ferrous metal.,['non-ferrous'],natural_questions,long_form,no_thinking,1,0.4,0.95783633,0.05
nq_93,where did the dewey decimal system come from,"The Dewey Decimal System was developed by Melvil Dewey, a librarian and educator, and was first published in 1876. It was designed as a classification system for library collections and is widely used in libraries around the world.",['Melvil Dewey'],natural_questions,long_form,no_thinking,0,0.1111111111111111,0.9382917,0.05
nq_94,who is the leader of the ontario pc party,"As of the most recent information available up to July 2024, the leader of the Ontario PC Party (Progressive Conservative Party) is **Greg Rickford**. He has been the leader since 2021. However, it's important to note that political leadership can change with elections or internal party decisions, so checking the latest official sources is recommended for the most up-to-date information.","['Patrick Brown', 'Patrick Walter Brown MPP', 'Patrick Walter Brown']",natural_questions,long_form,no_thinking,0,0.0,0.9304804,0.05
